project_id,project_name,voluntary_registry,arborwaproject,voluntary_status,scope,type,reduction_or_removal,methodology_or_protocol,region,country,state,project_site_location,project_developer,total_credits_issued,total_credits_retired,total_credits_remaining,total_buffer_pool_deposits,reversals_covered_by_buffer_pool,reversals_not_covered_by_buffer,first_year_of_project_(vintage),year_unknown,project_owner,offset_project_operator,authorized_project_designee,verifier,estimated_annual_emission_reductions,pers,registry_or_arb_or_wa,arb_project_detail,arb_id,poa_idoraggregate_id,corsia_eligible,project_listed,project_registered,ccb_or_certifications,project_type_from_the_registry,registry_documents,project_website,notes_from_registry,notes_from_berkeley_carbon_trading_project,added_to_database_version_-_with_data_through,unnamed:_158,"1st_issuance_yr_(no_hard_code,_hide)",unnamed:_160
GS969,Mavi HEPP,GOLD,No,Listed,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,Western Asia,Türkiye, , ,SUEN Ltd.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,17911, ,GOLD, , , ,No, , , ,"Small, Low - Impact Hydro",https://registry.goldstandard.org/projects?q=GS969, , , ,v 1  12-2020,,0.0,1.0
CAR1244,DPC Domestic ODS Destruction Project #26,CAR,Compliance,Completed,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,United States,OHIO,Bowling Green,"Diversified Pure Chem, LLC",110990.0,110990.0,0.0,0.0,,,2017.0,0.0,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC", ,"S&A Carbon, LLC", , ,ARB,Completed,CAOD5288, ,No,2016-09-27 00:00:00,2017-10-24 00:00:00, ,Ozone Depleting Substances - U.S. - ARB Compliance,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1244,www.divpc.com, , ,v 1  12-2020,,2017.0,1.0
VCS1867,Ningxia Xiangshan Wind Farm Project,VCS,No,Registered,Renewable Energy,Wind,Reduction,ACM0002,Eastern Asia,China, , ,"Ningxia Zhongwei Aluminum New Energy Co., Ltd",4041916.0,1884399.0,2157517.0,0.0,,,2017.0,0.0, , , , ,727982, ,VCS, , , , , ,2019-04-11 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/1867, , , ,v 1  12-2020,,2017.0,1.0
GS1704,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-013,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,China, , ,Chengdu Oasis Science & Technology Co Ltd,86861.0,5571.0,81290.0,0.0,,,2013.0,0.0, , , , ,9870, ,GOLD, , ,1239,No, , , ,Biogas - Heat,https://registry.goldstandard.org/projects?q=GS1704, , , ,v 1  12-2020,,2013.0,1.0
GS11278,Improved Cookstove and Safe Water Programme – Nigeria – VPA 20 ,GOLD,No,Gold Standard Certified Project,Household & Community,Clean Water,Reduction,GS Methodology for emission reductions from safe drinking water supply,Sub-Saharan Africa,Nigeria, , ,Impact Carbon,108122.0,30976.0,77146.0,0.0,,,2021.0,0.0, , , , ,60000, ,GOLD, , ,11189,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS11278, , , ,v 3  11-2021,,2021.0,1.0
VCS862,"AMA08-W-24, METHANE RECOVERY IN WASTEWATER TREATMENT PAHANG, MALAYSIA",VCS,No,Registered,Waste Management,Methane Recovery in Wastewater,Reduction,AMS-III.H.,South-Eastern Asia,Malaysia, , ,AES AgriVerde Ltd.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,26568.0, ,VCS, , , , , ,2020-04-06 00:00:00, ,Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/862, , , ,v 1  12-2020,,0.0,1.0
VCS1118,Suruí Forest Carbon Project,VCS,No,Registered,Forestry & Land Use,REDD+,Reduction,VM0015,Latin America and the Caribbean,Brazil, , ,Metareilá Association of the Suruí Indigenous P'pl,251529.0,251529.0,0.0,48366.0,,,2012.0,0.0, , , , ,247460, ,VCS, , , , , ,2020-04-06 00:00:00, ,Agriculture Forestry and Other Land Use,https://registry.verra.org/app/projectDetail/VCS/1118, , , ,v 1  12-2020,,2012.0,1.0
VCS2859,Jingbian County MSW landfill site LFG pollution treatment and  comprehensive utilization project,VCS,No,Registered,Waste Management,Landfill Methane,Reduction,AMS-I.D.; AMS-III.G.,Eastern Asia,China, , ,"Henan BCCY Environmental Energy CO.,LTD.",0.0,0.0,0.0,0.0,,,,0.0, , , , ,34922, ,VCS, , , , , ,2023-03-10 00:00:00, ,Energy industries (renewable/non-renewable sources); Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/2859, , , ,v 6  11-2022,,0.0,1.0
VCS4692,GUANGZHOU EASTERN SOLID RESOURCE RECYCLING CENTER FOOD WASTE TREATMENT PHASE II PROJECT,VCS,No,Registration and verification approval requested,Waste Management,Waste Diversion,Reduction,ACM0022,Eastern Asia,China, , ,"Grandtop  Fushan  Environmental  Protection  Energy  Co., Ltd.",0.0,0.0,0.0,0.0,,,,0.0, , , , ,282394.0, ,VCS, , , , , , , ,Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/4692, , , ,v 9  11-2023,,0.0,1.0
GS12386,GS1340 - Efficient cookstoves in Burkina Faso – VPA-57 - tiipaalga Beoong Neere,GOLD,No,Listed,Household & Community,Cookstoves,Reduction,GS MS Simplified Methodology for Efficient Cookstoves v1.1,Sub-Saharan Africa,Burkina Faso, , ,Tiipaalga,0.0,0.0,0.0,0.0,,,,0.0, , , , ,9800, ,GOLD, , ,1340,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS12386, , , ,v10  12-2023,,0.0,1.0
VCS358,"8.92 MW Bundled grid-connected wind electricity generation project in Erode and Coimbatore districts of Tamil Nadu, India",VCS,No,Registered,Renewable Energy,Wind,Reduction,AMS-I.D.,Southern Asia,India, , ,Indian Wind Power Association,58039.0,58039.0,0.0,0.0,,,2006.0,0.0, , , , ,14878, ,VCS, , , , , ,2020-04-06 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/358, , , ,v 1  12-2020,,2006.0,1.0
VCS1495,Selco Clean Energy Products Grouped Project,VCS,No,Registered,Renewable Energy,Solar - Distributed,Reduction,AMS-I.J; AMS-II.F.,Southern Asia,India, , ,Selco Solar Pvt. Ltd.,65471.0,65299.0,172.0,0.0,,,2014.0,0.0, , , , ,34551, ,VCS, , , , , ,2015-12-07 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/1495, , , ,v 1  12-2020,,2014.0,1.0
VCS2945,Global Cookstove Program (EKI Phase 07),VCS,No,Registered,Household & Community,Cookstoves,Reduction,VMR0006,Southern Asia,India, , ,EKI Energy Services Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,6956, ,VCS, , , , , ,2024-01-31 00:00:00, ,Energy demand,https://registry.verra.org/app/projectDetail/VCS/2945, , , ,v 6  11-2022,,0.0,1.0
CAR1033,Sunny Knoll Farms Anaerobic Digester,CAR,Compliance,Registered,Agriculture,Manure Methane Digester,Reduction,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,United States,NEW YORK,"Near Rochester, NY","3Degrees Group, Inc",30979.0,30214.0,765.0,0.0,,,2013.0,0.0,"3Degrees Group, Inc",Sunny Knoll Farms,"3Degrees Group, Inc", , , ,ARB,Active ARB Project,CALS5042, ,No,2014-02-10 00:00:00,2014-07-31 00:00:00, ,Livestock - ARB Compliance,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1033, ,Reported under CAR490 prior to transition to the ARB Compliance Offset Protocol, ,v 1  12-2020,,2013.0,1.0
GS11179,GS1247 VPA 306 - Togo Safe Water,GOLD,No,Gold Standard Certified Design,Household & Community,Community Boreholes,Reduction,GS TPDDTEC v3.1,Sub-Saharan Africa,Togo, , ,CO2balance UK ltd,0.0,0.0,0.0,0.0,,,,0.0, , , , ,10000, ,GOLD, , ,1247,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS11179, , , ,v 3  11-2021,,0.0,1.0
VCS586,GE Teobaldo Ceramic Fuel Switching Project,VCS,No,Registered,Renewable Energy,Biomass,Reduction,AMS-I.E.,Latin America and the Caribbean,Brazil, , ,Multiple Proponents,17507.0,9036.0,8471.0,0.0,,,2009.0,0.0, , , , ,5503.0, ,VCS, , , , , ,2020-04-06 00:00:00,Social Carbon,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/586, , , ,v 1  12-2020,,2009.0,1.0
GS2587,Henan Sheqi Xiawaxiang  Wind Farm  Phase I Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Eastern Asia,China, , ,Climate Bridge (Shanghai) Ltd.,368724.0,38968.0,329756.0,0.0,,,2015.0,0.0, , , , ,65209, ,GOLD, , , ,No, , , ,Wind,https://registry.goldstandard.org/projects?q=GS2587, , , ,v 1  12-2020,,2015.0,1.0
VCS3546,ADJUSTED WATER MANAGEMENT IN RICE CULTIVATION IN CHANGSHOU DISTRICT,VCS,No,Inactive,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,Eastern Asia,China, , ,Chongqing Xinchu Carbon Technology Co. Ltd,0.0,0.0,0.0,0.0,,,,0.0, , , , ,41217, ,VCS, , , , , , , ,Agriculture Forestry and Other Land Use,https://registry.verra.org/app/projectDetail/VCS/3546, , , ,v 8  05-2023,,0.0,1.0
